unit_id,category,chapter,is_stub
4.9__ch7,4.9,7,0
4.9__ch8,4.9,8,0
4.9__ch9,4.9,9,0
4.9__ch10,4.9,10,0
4.9__ch11,4.9,11,0
4.9__ch12,4.9,12,0
4.10__ch1,4.10,1,0
4.10__ch2,4.10,2,0
4.10__ch3,4.10,3,0
4.10__ch4,4.10,4,0
4.10__ch5,4.10,5,0
4.10__ch6,4.10,6,0
4.10__ch7,4.10,7,0
4.10__ch8,4.10,8,0
4.10__ch9,4.10,9,0
4.10__ch10,4.10,10,0
4.10__ch11,4.10,11,0
4.10__ch12,4.10,12,0
4.11__ch1,4.11,1,1
4.11__ch2,4.11,2,0
4.11__ch3,4.11,3,0
4.11__ch4,4.11,4,0
4.11__ch5,4.11,5,0
4.11__ch6,4.11,6,0
4.11__ch7,4.11,7,0
4.11__ch8,4.11,8,0
4.11__ch9,4.11,9,0
4.11__ch10,4.11,10,0
4.11__ch11,4.11,11,0
4.11__ch12,4.11,12,0
4.12__ch1,4.12,1,1
4.12__ch2,4.12,2,1
4.12__ch3,4.12,3,1
4.12__ch4,4.12,4,1
4.12__ch5,4.12,5,1
4.12__ch6,4.12,6,1
4.12__ch7,4.12,7,1
4.12__ch8,4.12,8,1
4.12__ch9,4.12,9,0
4.12__ch10,4.12,10,0
4.12__ch11,4.12,11,0
4.12__ch12,4.12,12,0
5__ch1,5,1,0
5__ch2,5,2,0
5__ch3,5,3,0
5__ch4,5,4,0
5__ch5,5,5,0
5__ch6,5,6,0
5__ch7,5,7,0
5__ch8,5,8,0
5__ch9,5,9,0
5__ch10,5,10,0
5__ch11,5,11,0
5__ch12,5,12,0
6__ch1,6,1,0
6__ch2,6,2,0
6__ch3,6,3,0
6__ch4,6,4,0
6__ch5,6,5,0
6__ch6,6,6,0
6__ch7,6,7,0
6__ch8,6,8,0
6__ch9,6,9,0
6__ch10,6,10,0
6__ch11,6,11,0
6__ch12,6,12,0
